ID	Precision	Recall	F1
235	1.0	1.0	1.0
236	0	0	0
237	0	0	0
238	1.0	1.0	1.0
239	0.5	1.0	0.6666667
241	0	0	0
242	1.0	1.0	1.0
243	0	0	0
244	0	0	0
245	0	0	0
246	1.0	1.0	1.0
247	0	0	0
248	1.0	1.0	1.0
249	1.0	1.0	1.0
250	0	0	0
251	0	0	0
252	0	0	0
253	1.0	1.0	1.0
254	1.0	1.0	1.0
255	0	0	0
256	0	0	0
257	0	0	0
258	0	0	0
259	0	0	0
260	1.0	1.0	1.0
262	0	0	0
263	0	0	0
264	1.0	1.0	1.0
265	1.0	1.0	1.0
266	0	0	0
267	0	0	0
268	0	0	0
269	0	0	0
270	1.0	1.0	1.0
271	0	0	0
273	1.0	1.0	1.0
274	0	0	0
275	1.0	1.0	1.0
276	1.0	1.0	1.0
278	0	0	0
279	0	0	0
280	0	0	0
281	0	0	0
282	1.0	0.625	0.7692308
283	1.0	1.0	1.0
284	0	0	0
285	1.0	1.0	1.0
286	0	0	0
287	1.0	1.0	1.0
288	0	0	0
289	0.0011933175	1.0	0.0023837904
290	1.0	1.0	1.0
291	0	0	0
292	0	0	0
293	0	0	0
294	1.0	1.0	1.0
295	1.0	1.0	1.0
296	1.0	1.0	1.0
297	1.0	1.0	1.0
298	0	0	0
299	0	0	0
300	0	0	0
301	1.0	1.0	1.0
302	1.0	1.0	1.0
303	0	0	0
304	0	0	0
305	0	0	0
306	0	0	0
307	0	0	0
308	0	0	0
309	1.0	1.0	1.0
310	1.0	1.0	1.0
311	0	0	0
312	1.0	1.0	1.0
313	1.0	1.0	1.0
314	0	0	0
315	1.0	1.0	1.0
316	0	0	0
317	0	0	0
318	1.0	1.0	1.0
319	1.0	1.0	1.0
320	0.25	1.0	0.4
321	1.0	0.8	0.88888896
322	0	0	0
323	0	0	0
324	0	0	0
325	0	0	0
326	1.0	1.0	1.0
327	0	0	0
328	1.0	1.0	1.0
329	1.0	1.0	1.0
330	1.0	1.0	1.0
331	0.15116279	1.0	0.26262626
332	0	0	0
333	1.0	1.0	1.0
334	1.0	1.0	1.0
335	1.0	1.0	1.0
336	0	0	0
337	1.0	1.0	1.0
338	1.0	1.0	1.0
339	0	0	0
340	0	0	0
341	0.1	1.0	0.18181819
342	1.0	1.0	1.0
343	0	0	0
344	0	0	0
345	0	0	0
346	0	0	0
347	0.2857143	0.6666667	0.4
348	0	0	0
349	0	0	0
350	1.0	1.0	1.0
351	1.0	1.0	1.0
352	0.5	1.0	0.6666667
353	1.0	1.0	1.0
354	0	0	0
355	0	0	0
356	1.0	1.0	1.0
357	0	0	0
358	0	0	0
359	1.0	1.0	1.0
360	0	0	0
361	0	0	0
362	0	0	0
363	1.0	1.0	1.0
364	0	0	0
365	1.0	1.0	1.0
366	0.5	1.0	0.6666667
367	0	0	0
368	0	0	0
369	0	0	0
370	1.0	1.0	1.0
371	0.6666667	1.0	0.8
372	0	0	0
373	0	0	0
374	1.0	1.0	1.0
375	0	0	0
376	0	0	0
377	1.0	1.0	1.0
378	1.0	1.0	1.0
379	0	0	0
380	1.0	1.0	1.0
381	1.0	1.0	1.0
382	0	0	0
383	1.0	1.0	1.0
384	0	0	0
385	0	0	0
386	1.0	1.0	1.0
387	1.0	1.0	1.0
388	0	0	0
389	1.0	1.0	1.0
390	1.0	1.0	1.0
391	0.5	1.0	0.6666667
392	1.0	1.0	1.0
393	0	0	0
394	0.007874016	1.0	0.015625
395	0.5	1.0	0.6666667
396	0	0	0
397	0	0	0
398	1.0	1.0	1.0
399	0	0	0
400	0.004149378	1.0	0.008264462
401	1.0	1.0	1.0
402	0	0	0
403	0.5	1.0	0.6666667
404	0	0	0
405	0	0	0
406	0.5	0.33333334	0.4
407	0.033333335	1.0	0.064516135
408	0	0	0
409	0	0	0
410	0	0	0
411	0	0	0
412	1.0	1.0	1.0
413	0	0	0
