ID	Precision	Recall	F1
254	1.0	1.0	1.0
255	1.0	1.0	1.0
256	1.0	1.0	1.0
257	1.0	1.0	1.0
258	0	0	0
259	0	0	0
260	1.0	1.0	1.0
262	0	0	0
263	0.033333335	1.0	0.064516135
264	1.0	1.0	1.0
265	1.0	1.0	1.0
266	0	0	0
267	1.0	1.0	1.0
268	1.0	1.0	1.0
269	0	0	0
270	0	0	0
271	1.0	1.0	1.0
273	0	0	0
274	0	0	0
275	1.0	1.0	1.0
276	0	0	0
278	1.0	1.0	1.0
279	0	0	0
280	1.0	1.0	1.0
281	0	0	0
282	1.0	1.0	1.0
283	1.0	1.0	1.0
284	0	0	0
285	1.0	1.0	1.0
286	1.0	1.0	1.0
287	1.0	1.0	1.0
288	0	0	0
289	0.0012330456	1.0	0.002463054
290	0	0	0
291	1.0	1.0	1.0
292	0.5	1.0	0.6666667
293	1.0	1.0	1.0
294	1.0	1.0	1.0
295	1.0	1.0	1.0
296	1.0	1.0	1.0
297	1.0	1.0	1.0
298	0	0	0
299	0	0	0
300	1.0	1.0	1.0
301	1.0	1.0	1.0
302	1.0	1.0	1.0
303	1.0	1.0	1.0
304	1.0	1.0	1.0
305	0	0	0
306	0	0	0
307	0	0	0
308	1.0	1.0	1.0
309	1.0	1.0	1.0
310	1.0	1.0	1.0
311	0	0	0
312	1.0	1.0	1.0
313	1.0	1.0	1.0
314	1.0	1.0	1.0
315	0	0	0
316	0	0	0
317	1.0	1.0	1.0
318	1.0	1.0	1.0
319	0	0	0
320	0.25	1.0	0.4
321	1.0	1.0	1.0
322	0	0	0
323	0	0	0
324	1.0	1.0	1.0
325	0	0	0
326	1.0	1.0	1.0
327	0	0	0
328	0.06666667	1.0	0.125
329	1.0	1.0	1.0
330	0	0	0
331	0	0	0
332	0	0	0
333	1.0	1.0	1.0
334	1.0	1.0	1.0
335	1.0	1.0	1.0
336	1.0	1.0	1.0
337	1.0	1.0	1.0
338	1.0	1.0	1.0
339	1.0	1.0	1.0
340	0	0	0
341	0	0	0
342	0	0	0
343	0	0	0
344	0	0	0
345	1.0	1.0	1.0
346	0	0	0
347	0.2857143	0.6666667	0.4
348	1.0	1.0	1.0
349	0	0	0
350	1.0	1.0	1.0
351	1.0	1.0	1.0
352	1.0	1.0	1.0
353	1.0	1.0	1.0
354	0	0	0
355	0	0	0
356	1.0	1.0	1.0
357	0	0	0
358	0	0	0
359	1.0	1.0	1.0
360	0	0	0
361	1.0	1.0	1.0
362	1.0	1.0	1.0
363	1.0	1.0	1.0
364	0	0	0
365	1.0	1.0	1.0
366	0	0	0
367	0	0	0
368	0	0	0
369	0	0	0
370	0	0	0
371	0	0	0
372	1.0	1.0	1.0
373	0	0	0
374	0	0	0
375	1.0	1.0	1.0
376	1.0	1.0	1.0
377	1.0	1.0	1.0
378	1.0	1.0	1.0
379	1.0	1.0	1.0
380	1.0	1.0	1.0
381	1.0	1.0	1.0
382	1.0	1.0	1.0
383	1.0	1.0	1.0
384	1.0	1.0	1.0
385	0	0	0
386	1.0	1.0	1.0
387	0	0	0
388	0	0	0
389	1.0	1.0	1.0
390	1.0	1.0	1.0
391	0	0	0
392	1.0	1.0	1.0
393	0	0	0
394	1.0	1.0	1.0
395	1.0	1.0	1.0
396	1.0	1.0	1.0
397	1.0	1.0	1.0
398	1.0	1.0	1.0
399	1.0	1.0	1.0
400	0.0041841003	1.0	0.008333333
401	0	0	0
402	1.0	1.0	1.0
403	0	0	0
404	0.5	1.0	0.6666667
405	1.0	1.0	1.0
406	0	0	0
407	0.04761905	1.0	0.090909086
408	1.0	1.0	1.0
409	0	0	0
410	0	0	0
411	0.023809524	1.0	0.046511628
412	1.0	1.0	1.0
413	1.0	1.0	1.0
