,,Question Type,Answer Resource Type,Wh-type,#Token,Limit (includes order by and offset),Comparative,Superlative,Person,Location,Organization,Misc,APEQ,QAnswer,SemGraphQA,Xser,YODAQA,Optimal
14,Which artists were born on the same date as Rachel Stevens?,List,Person,Which,11,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,0,0,0,0.8571428571,0,0.8571428571
15,How many scientists graduated from an Ivy League university?,Number,Number,How,9,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,0,0,0,0,0,0
16,Which types of grapes grow in Oregon?,List,Misc,Which,7,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,TRUE,0,0,0,0.1081081081,0.05714285714,0.1081081081
17,Who is starring in Spanish movies produced by Benicio del Toro?,Resource,Person,Who,11,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,0.8695652174,1,0,1,0,1
18,Who is the manager of Real Madrid?,Resource,Person,Who,7,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,1,0,1,1,1,1
19,Give me the currency of China.,Resource,Misc,Command,6,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,0,0,1,1,0,1
20,Which movies starring Brad Pitt were directed by Guy Ritchie?,List,Person,Which,10,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,1,1,0,1,0,1
22,How many companies were founded by the founder of Facebook?,Number,Number,How,10,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,0,0,0,1,0,1
23,How many companies were founded in the same year as Google?,Number,Number,How,11,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,0,0,0,1,0,1
24,Which subsidiary of Lufthansa serves both Dortmund and Berlin Tegel?,Resource,Organization,Which,10,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,0,0,0,0,1,1
25,How many airlines are members of the Star Alliance?,Number,Number,How,9,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,FALSE,0,0,0,0,0,0
26,Give me all spacecrafts that flew to Mars.,List,Misc,Command,8,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,0,0,0,1,0,1
27,Which musician wrote the most books?,Resource,Person,Which,6,TRUE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,0,0.01183431953,0,0,0,0.01183431953
28,Show me everyone who was born on Halloween.,List,Person,Command,8,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,0,0,0,0.25,0,0.25
29,Give me all Swiss non-profit organizations.,List,Organization,Command,6,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,0,0,0,0.8,0,0.8
30,In which country is Mecca located?,Resource,Location,Command,6,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,1,1,0,1,1,1
31,What is the net income of Apple?,Number,Number,What,7,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,0,0,0,1,0,1
32,What does the abbreviation FIFA stand for?,Resource,Organization,What,7,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,0,0,0,1,0,1
33,When did the Ming dynasty dissolve?,Resource,Date,When,6,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,0,0,0,0,0,0
34,Which museum in New York has the most visitors?,Resource,Organization,Which,9,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,0,0.025,0,1,0,1
35,Is Lake Baikal bigger than the Great Bear Lake?,Boolean,Boolean,Ask,9,FALSE,TRUE,FALSE,FALSE,TRUE,FALSE,FALSE,0,1,0,0,1,1
36,Desserts from which country contain fish?,Resource,Location,Ask,6,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,0,0,0,1,0,1
37,What is the highest mountain in Italy?,Resource,Location,What,7,TRUE,FALSE,TRUE,FALSE,TRUE,FALSE,FALSE,0,1,0,1,0,1
38,Where did the architect of the Eiffel Tower study?,Resource,Organization,Where,9,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,0,0,0,1,0,1
39,Which Greek parties are pro-European?,List,Organization,What,5,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,0,0.08333333333,0,0,0,0.08333333333
40,What is the height difference between Mount Everest and K2?,Number,Number,What,10,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,0,0,0,0,0,0
41,Who is the mayor of Rotterdam?,Resource,Person,Who,6,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,1,0,1,1,0,1
43,How high is the Yokohama Marine Tower?,Number,Number,Ask,7,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,0,0,0,1,0,1
44,Are Taiko a kind of Japanese musical instruments?,Boolean,Boolean,Ask,8,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,TRUE,1,0,0,0,1,1
45,How many ethnic groups live in Slovenia?,Number,Number,How,7,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,0,0,0,0,0,0
46,List the seven kings of Rome.,List,Person,Command,6,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,0,0,0,1,0,1
47,Who were the parents of Queen Victoria?,Resource,Person,Who,7,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,0.3076923077,0,1,1,0,1
48,Who is the heaviest player of the Chicago Bulls?,Resource,Person,Who,9,TRUE,FALSE,TRUE,FALSE,FALSE,TRUE,FALSE,0,0,0.01449275362,0,0,0.01449275362
49,Which volcanos in Japan erupted since 2000?,List,Misc,Which,7,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,0,0,0,0.7368421053,0,0.7368421053
50,Who is the tallest basketball player?,Resource,Person,Who,6,TRUE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,0,0,0,0,0,0
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,Unique Values,4,7,9,9,2,2,2,2,2,2,2,,,,,,
,,,,,,,,,,,,Average Fmeasure,0.2216051817,0.1916374797,0.166968599,0.6446750159,0.1739547038,0.7407096077
